conductor,insulation,method,cores,size_mm2,amps,source
Al,PVC,C,2,6,36,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D1,2,6,36,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A1,2,10,36,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A2,2,10,33,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B1,2,10,44,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B2,2,10,41,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,C,2,10,49,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D1,2,10,47,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A1,2,16,48,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A2,2,16,44,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B1,2,16,60,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B2,2,16,54,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,C,2,16,66,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D1,2,16,61,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D2,2,16,63,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A1,2,25,63,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A2,2,25,58,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B1,2,25,79,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B2,2,25,71,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,C,2,25,83,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D1,2,25,77,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D2,2,25,82,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A1,2,35,77,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A2,2,35,71,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B1,2,35,97,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B2,2,35,86,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,C,2,35,103,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D1,2,35,93,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D2,2,35,98,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A1,2,50,93,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A2,2,50,86,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B1,2,50,118,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B2,2,50,104,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,C,2,50,125,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D1,2,50,109,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D2,2,50,117,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A1,2,70,118,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A2,2,70,108,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B1,2,70,150,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B2,2,70,131,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,C,2,70,160,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D1,2,70,135,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D2,2,70,145,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A1,2,95,142,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A2,2,95,130,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B1,2,95,181,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B2,2,95,157,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,C,2,95,195,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D1,2,95,159,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D2,2,95,173,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A1,2,120,164,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A2,2,120,150,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B1,2,120,210,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B2,2,120,181,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,C,2,120,226,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D1,2,120,180,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D2,2,120,200,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A1,2,150,189,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A2,2,150,172,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B1,2,150,234,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B2,2,150,201,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,C,2,150,261,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D1,2,150,204,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D2,2,150,224,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A1,2,185,215,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A2,2,185,195,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B1,2,185,266,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B2,2,185,230,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,C,2,185,298,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D1,2,185,228,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D2,2,185,255,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A1,2,240,252,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A2,2,240,229,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B1,2,240,312,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B2,2,240,269,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,C,2,240,352,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D1,2,240,262,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D2,2,240,298,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A1,2,300,289,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A2,2,300,263,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B1,2,300,358,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B2,2,300,308,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,C,2,300,406,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D1,2,300,296,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D2,2,300,336,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
